C  4.80-3.499-0.917-0.063-1.850-4.308
C  4.90-4.130-1.335-0.076-0.965-2.243
C  5.00      -1.932-0.315-0.468-0.786
C  5.10      -3.025-1.087-0.633-0.165
C  5.20      -4.344-2.116-1.152-0.035
C  5.30            -3.064-1.664-0.010
C  5.40            -3.884-2.107-0.003
C  5.50            -4.590-2.483-0.001
C  5.60                  -2.794-0.001-3.929
C  5.70                  -3.023-0.001-2.761
C  5.80                  -3.148-0.007-1.803-4.081
C  5.90                  -3.210-0.044-1.039-2.395
C  6.00                  -3.353-0.202-0.528-1.127
C  6.10                  -3.797-0.658-0.422-0.396
C  6.20                  -4.534-1.386-0.674-0.127
C  6.30                        -2.150-1.030-0.046
C  6.40                        -2.846-1.374-0.019
C  6.50                        -3.463-1.682-0.009
C  6.60                        -4.007-1.952-0.005
C  6.70                        -4.493-2.191-0.003
C  6.80                              -2.403-0.002
C  6.90                              -2.593-0.001
C  7.00                              -2.766-0.001
C  7.10                              -2.924-0.001
N  4.00-0.001-2.807
N  4.10-0.026-1.231
N  4.20-0.344-0.262
N  4.30-1.129-0.034-4.257
N  4.40-1.787-0.008-2.717
N  4.50-2.100-0.014-1.617
N  4.60-2.279-0.068-0.854-4.318
N  4.70-2.542-0.236-0.382-2.780
N  4.80-2.958-0.545-0.159-1.686
N  4.90-3.499-0.957-0.115-0.914-4.065
N  5.00-4.170-1.480-0.235-0.418-2.508
N  5.10      -2.133-0.529-0.184-1.394-2.732
N  5.20      -2.941-1.011-0.211-0.685-1.100
N  5.30      -4.170-1.943-0.744-0.596-0.256
N  5.40            -3.246-1.695-1.018-0.054
N  5.50            -4.494-2.628-1.496-0.015
N  5.60                  -3.445-1.918-0.005
N  5.70                  -4.146-2.275-0.002-3.800
N  5.80                  -4.730-2.555-0.002-2.542
N  5.90                        -2.738-0.013-1.546-4.442
N  6.00                        -2.855-0.072-0.824-2.733
N  6.10                        -3.012-0.237-0.411-1.511
N  6.20                        -3.293-0.536-0.286-0.720
N  6.30                        -3.745-0.989-0.412-0.293
N  6.40                        -4.324-1.545-0.696-0.114
N  6.50                              -2.110-1.021-0.047
N  6.60                              -2.637-1.329-0.022
N  6.70                              -3.120-1.606-0.011
N  6.80                              -3.560-1.852-0.006
N  6.90                              -3.963-2.071-0.004
N  7.00                              -4.337-2.267-0.002
N  7.10                              -4.684-2.445-0.002
N  7.20                                    -2.607-0.001
N  7.30                                    -2.756-0.001
N  7.40                                    -2.896-0.001
N  7.50                                    -3.030-0.000
O  4.00-0.001-2.510
O  4.10-0.043-1.028
O  4.20-0.436-0.198
O  4.30-1.189-0.029
O  4.40-1.723-0.008-3.627
O  4.50-2.004-0.007-2.279
O  4.60-2.210-0.023-1.352
O  4.70-2.458-0.097-0.707-3.678
O  4.80-2.835-0.296-0.313-2.245
O  4.90-3.365-0.640-0.147-1.246-4.300
O  5.00-4.037-1.118-0.177-0.592-2.677
O  5.10-4.864-1.746-0.406-0.252-1.530-4.612
O  5.20      -2.507-0.809-0.174-0.771-2.807
O  5.30      -3.397-1.373-0.326-0.344-1.521-2.667
O  5.40      -4.474-2.152-0.747-0.268-0.734-1.048
O  5.50            -3.382-1.661-0.750-0.621-0.251
O  5.60                  -2.916-1.626-0.993-0.059
O  5.70                  -4.113-2.488-1.423-0.018
O  5.80                        -3.244-1.804-0.007-4.447
O  5.90                        -3.887-2.119-0.004-3.116
O  6.00                        -4.406-2.350-0.006-2.057
O  6.10                        -4.805-2.493-0.027-1.248-3.534
O  6.20                              -2.612-0.105-0.688-2.140
O  6.30                              -2.808-0.291-0.382-1.146
O  6.40                              -3.165-0.634-0.330-0.524
O  6.50                              -3.696-1.133-0.497-0.216
O  6.60                              -4.312-1.697-0.773-0.091
O  6.70                                    -2.247-1.066-0.042
O  6.80                                    -2.756-1.340-0.021
O  6.90                                    -3.219-1.587-0.012
O  7.00                                    -3.643-1.808-0.007
O  7.10                                    -4.032-2.007-0.004
O  7.20                                    -4.391-2.186-0.003
O  7.30                                    -4.726-2.350-0.002
O  7.40                                          -2.502-0.001
O  7.50                                          -2.643-0.001
O  7.60                                          -2.776-0.001
O  7.70                                          -2.908-0.001
F  4.00-0.000-4.496
F  4.10-0.001-2.581
F  4.20-0.038-1.074
F  4.30-0.420-0.208
F  4.40-1.231-0.027-3.277
F  4.50-1.932-0.010-1.916
F  4.60-2.383-0.046-1.015
F  4.70-2.748-0.189-0.455-3.733
F  4.80-3.201-0.481-0.178-2.209
F  4.90-3.755-0.885-0.099-1.136-4.602
F  5.00-4.454-1.428-0.220-0.445-2.821
F  5.10      -2.180-0.597-0.145-1.631-4.797
F  5.20      -3.054-1.131-0.105-0.859-3.028
F  5.30      -4.002-1.770-0.250-0.396-1.741-4.349
F  5.40            -2.536-0.586-0.220-0.877-2.547-4.220
F  5.50            -3.457-1.130-0.328-0.402-1.295-2.089
F  5.60            -4.655-1.994-0.813-0.389-0.635-0.708
F  5.70                  -3.354-1.841-0.987-0.690-0.169
F  5.80                  -4.857-3.046-1.818-1.063-0.047
F  5.90                        -4.151-2.591-1.445-0.017-4.836
F  6.00                              -3.258-1.775-0.008-3.464
F  6.10                              -3.810-2.029-0.006-2.363
F  6.20                              -4.243-2.200-0.017-1.498-4.006
F  6.30                              -4.606-2.328-0.068-0.864-2.534
F  6.40                                    -2.500-0.204-0.473-1.452
F  6.50                                    -2.794-0.469-0.325-0.732
F  6.60                                    -3.247-0.881-0.399-0.329
F  6.70                                    -3.810-1.386-0.617-0.144
F  6.80                                    -4.403-1.906-0.883-0.067
F  6.90                                          -2.398-1.146-0.034
F  7.00                                          -2.852-1.387-0.019
F  7.10                                          -3.269-1.606-0.011
F  7.20                                          -3.652-1.803-0.007
F  7.30                                          -4.008-1.982-0.005
F  7.40                                          -4.340-2.146-0.003
F  7.50                                          -4.651-2.297-0.002
F  7.60                                                -2.438-0.002
F  7.70                                                -2.570-0.001
F  7.80                                                -2.703-0.001
F  7.90                                                -2.825-0.001
F  8.00                                                -2.941-0.000
Ne 4.00-0.000
Ne 4.10-0.000-4.502
Ne 4.20-0.001-2.606
Ne 4.30-0.035-1.106
Ne 4.40-0.398-0.222-4.816
Ne 4.50-1.195-0.029-2.843
Ne 4.60-1.858-0.021-1.482
Ne 4.70-2.296-0.116-0.640-4.209
Ne 4.80-2.743-0.367-0.247-2.627
Ne 4.90-3.268-0.720-0.108-1.536
Ne 5.00-3.872-1.144-0.120-0.771-3.752
Ne 5.10-4.617-1.697-0.309-0.315-2.341
Ne 5.20      -2.386-0.668-0.132-1.366-3.760
Ne 5.30      -3.159-1.136-0.140-0.707-2.255
Ne 5.40      -4.043-1.735-0.340-0.340-1.179-3.007
Ne 5.50            -2.523-0.779-0.292-0.530-1.608-3.627
Ne 5.60            -3.538-1.481-0.571-0.296-0.744-1.958-3.061
Ne 5.70            -4.804-2.465-1.182-0.464-0.379-0.928-1.294
Ne 5.80                  -3.871-2.258-1.152-0.610-0.606-0.366
Ne 5.90                        -3.696-2.248-1.309-0.841-0.096
Ne 6.00                              -3.348-2.061-1.197-0.033
Ne 6.10                              -4.325-2.730-1.524-0.014-3.636
Ne 6.20                                    -3.288-1.784-0.009-2.532
Ne 6.30                                    -3.732-1.965-0.015-1.656-4.266
Ne 6.40                                    -4.096-2.097-0.051-0.996-2.781
Ne 6.50                                    -4.462-2.255-0.157-0.560-1.667
Ne 6.60                                          -2.515-0.372-0.351-0.895
Ne 6.70                                          -2.915-0.721-0.358-0.431
Ne 6.80                                          -3.434-1.175-0.523-0.199
Ne 6.90                                          -4.001-1.662-0.757-0.095
Ne 7.00                                          -4.566-2.136-1.003-0.049
Ne 7.10                                                -2.578-1.235-0.027
Ne 7.20                                                -2.986-1.448-0.016
Ne 7.30                                                -3.363-1.641-0.010
Ne 7.40                                                -3.714-1.817-0.007
Ne 7.50                                                -4.041-1.979-0.005
Ne 7.60                                                -4.349-2.129-0.003
Ne 7.70                                                -4.641-2.268-0.002
Ne 7.80                                                      -2.401-0.002
Ne 7.90                                                      -2.533-0.001
Ne 8.00                                                      -2.654-0.001
Na 4.00-2.997-0.000
Na 4.10-3.672-0.000
Na 4.20-4.237-0.000
Na 4.30-4.713-0.000
Na 4.40      -0.000
Na 4.50      -0.000-4.592
Na 4.60      -0.001-2.784
Na 4.70      -0.017-1.413
Na 4.80      -0.138-0.567-2.990
Na 4.90      -0.445-0.208-1.667
Na 5.00      -0.894-0.140-0.830-3.394
Na 5.10      -1.489-0.295-0.347-1.948
Na 5.20      -2.247-0.662-0.173-0.981-3.602
Na 5.30      -3.156-1.215-0.261-0.417-2.186
Na 5.40      -4.189-1.920-0.559-0.183-1.251-3.296
Na 5.50            -2.705-0.984-0.176-0.666-1.951-4.115
Na 5.60            -3.559-1.518-0.354-0.367-1.030-2.401-4.596
Na 5.70            -4.540-2.207-0.745-0.359-0.505-1.213-2.587-3.871
Na 5.80                  -3.139-1.417-0.690-0.399-0.548-1.236-1.787
Na 5.90                  -4.482-2.529-1.505-0.836-0.507-0.622-0.568
Na 6.00                        -4.102-2.814-1.815-1.074-0.710-0.153
Na 6.10                              -4.183-2.891-1.790-1.027-0.051
Na 6.20                                    -3.853-2.436-1.341-0.022-3.670
Na 6.30                                    -4.668-2.968-1.596-0.013-2.592
Na 6.40                                          -3.386-1.776-0.016-1.737-4.361
Na 6.50                                          -3.726-1.908-0.044-1.086-2.913
Na 6.60                                          -4.063-2.056-0.128-0.636-1.805
Na 6.70                                          -4.473-2.292-0.310-0.390-1.013
Na 6.80                                                -2.660-0.618-0.347-0.513
Na 6.90                                                -3.152-1.036-0.467-0.247
Na 7.00                                                -3.703-1.503-0.671-0.122
Na 7.10                                                -4.261-1.965-0.898-0.064
Na 7.20                                                -4.804-2.401-1.118-0.036
Na 7.30                                                      -2.806-1.323-0.022
Na 7.40                                                      -3.180-1.511-0.014
Na 7.50                                                      -3.528-1.683-0.009
Na 7.60                                                      -3.852-1.842-0.006
Na 7.70                                                      -4.157-1.989-0.005
Na 7.80                                                      -4.443-2.126-0.003
Na 7.90                                                      -4.728-2.259-0.002
Na 8.00                                                            -2.388-0.002
Mg 4.00-0.835-0.069-3.755
Mg 4.10-1.330-0.025-2.032
Mg 4.20-1.857-0.094-0.744
Mg 4.30-2.743-0.584-0.132
Mg 4.40-3.875-1.368-0.019
Mg 4.50      -2.087-0.004
Mg 4.60      -2.689-0.001
Mg 4.70      -3.188-0.000-4.765
Mg 4.80      -3.589-0.001-3.029
Mg 4.90      -3.863-0.008-1.745
Mg 5.00      -3.993-0.062-0.878-3.715
Mg 5.10      -4.119-0.245-0.372-2.177
Mg 5.20      -4.390-0.599-0.171-1.131-3.673
Mg 5.30      -4.862-1.129-0.229-0.486-2.087
Mg 5.40            -1.861-0.548-0.215-1.032-3.472
Mg 5.50            -2.784-1.103-0.269-0.428-2.075-4.361
Mg 5.60            -3.860-1.846-0.584-0.184-1.167-2.641
